,Review,Positive,Negative,Neutral
1210,bad performancephon hangtim time,0.0,0.538,0.462
1211,worst product receiv camara clear useless product deliv flipkart go use flipkart go fowardveri worst,0.106,0.447,0.447
1212,price soo high product poor accord price satisfi product,0.0,0.279,0.721
1213,worst phone ever mi low qualiti camera perform like  cera,0.159,0.395,0.446
1214,accept camera pictur qualiti good budget phone,0.524,0.0,0.476
1215,realli nice ,0.737,0.0,0.263
1216,great,1.0,0.0,0.0
1217,good product,0.744,0.0,0.256
1218,good,1.0,0.0,0.0
1219,good,1.0,0.0,0.0
1220,nice one,0.737,0.0,0.263
1221,nice,1.0,0.0,0.0
1222,good,1.0,0.0,0.0
1223,good phone,0.744,0.0,0.256
1224,phone nice camera qualiti also good,0.588,0.0,0.412
1225,good,1.0,0.0,0.0
1226,nice gud thank filpkart,0.726,0.0,0.274
1227,veri good mobil,0.592,0.0,0.408
1228,phone look great real life imag  must buy sound qualiti best design phone amaz  love,0.51,0.0,0.49
1229, display  loud   good sunlight   super touch    alway  good look  volg mode  averag  bulki  lack camera featur like redmi note   charg speed  percent fast   full charg takperc   ei oi  record        good phone,0.356,0.054,0.59
1230,best phone budget  good batteri fast  nice camera good new featur  dimens   processor omg  display awesom profom   nice  star  flipkart,0.51,0.0,0.49
1231,phone perfect rounder compromis segment prefer  hypercharg  featur lower price display good bright notic mi  lite feel much better brighter time batteri life good camera bit disappoint good expect price rang low light experi poor  video qualiti ok camera lover phone ok hope,0.456,0.144,0.4
1232,good money paid  w varient use  hour batteri drain  good camera poor need improv hope get good updat camera  prioriti pleas avoid go want best batteri best display best look good perform,0.529,0.099,0.372
1233,phone size quit larg like cant say handi phone charg obvious fast display good refresh rate also feel good use phonemiui also updat like feel smoother past experi,0.31,0.0,0.69
1234,initi thought camera averag turn quit fanat  camera work well well featur bokeh good batteri servic decent  watt charger within  min charg upto  display sound realli awesom compact packag,0.215,0.0,0.785
1235,superbexcel  clear camerasuperb symmetr stereo sound like jbl affectionsuperb display amaz brightnesssuperb smooth superb batterysuperb  chargingveri fastsuperb sparkl colorssuperb feelsuperb back glasssuperb inhand feel weight distributioneveryth finesti like happi satisfact   star,0.302,0.0,0.698
1236,xiaomi   camo  sound  sound like watch movi theater dual dolbi atmo  weight  perfect  display  amol display qualiti good  processor mtd   rounder  camera  camera  selfi  good compar last use mobil mi note  pro  charg   fast charg impress good batteri backupin hand feel like premium camo green colour best go,0.415,0.0,0.585
1237,best class doubt good mobil price display super batteri full day camera good improv total best qualiti price thank flipkart,0.571,0.069,0.36
1238,phone hack problem,0.0,0.574,0.426
1239,hang problem,0.0,0.73,0.27
1240,phone slow,0.0,0.0,1.0
1241,nice good,1.0,0.0,0.0
1242,nice phone good qualitybut camera good qualiti,0.683,0.0,0.317
1243,best,1.0,0.0,0.0
1244,good mobil,0.744,0.0,0.256
1245,product good,0.744,0.0,0.256
1246,nice good product,0.851,0.0,0.149
1247,phone hack problem,0.0,0.574,0.426
1248,hang problem,0.0,0.73,0.27
1249,phone slow,0.0,0.0,1.0
1250,nice good,1.0,0.0,0.0
1251,nice phone good qualitybut camera good qualiti,0.683,0.0,0.317
1252,best,1.0,0.0,0.0
1253,good mobil,0.744,0.0,0.256
1254,product good,0.744,0.0,0.256
1255,nice good product,0.851,0.0,0.149
1256,honest review use three  look feel  awesom camo green colour amaz handi comfort  perform   display refresh rate  feel refresh rate well optimis still good hope system updat make smoother till havent felt  batteri charg  good batteri backup  normal use your heavi user depend full charg  min normal charg ,0.283,0.0,0.717
1257,awesom use sinc  day batteri perform better selfi camera rear camera also good daylight photo decent littl problem low light photo rest featur awesomegam like pubg free fire work good dimens  processor,0.317,0.158,0.525
1258,give review usag complet  day rear camera upto expect level  dim light sunlight realli good front camera realli good expect overal worth money lag good processor love stereo dolbi effect semma qualiti hear music   hd video amaz sound effect mild hear ,0.284,0.046,0.67
1259,mi  good mobil  camera  good batteri  good display good call voic also good im happi use mi  mobil love ,0.59,0.0,0.41
1260,phone great function think lack phone like display fingerprint   gb storag given accord price phone  gb ramand isnt second space phone otherwis phone great  refresh rate blast dont buy play bgmi  support never maintain  fps drop  start play even mylta ,0.284,0.119,0.597
1261,camera qualiti good,0.592,0.0,0.408
1262,  version batteri last day even use social media music  charger enough daili use bought phone main offer batteri capac hypercharg versioni plug morn wake time done breakfast approx  phone fullspeak dual stereo speaker one top one bottom symmetr sound imposs loud crisp hear phone room also cle,0.038,0.0,0.962
1263,  mobil perform oper fast camera  mg good qualiti sound clear doubl speekar good lowd clear hipper charg hit complaint valu money good product ,0.42,0.066,0.514
1264,write review use  daysi bought   variant pacif pearl colorfirst phone look eleg hand fact coupl dimens  chipset make phone perform beastuntil face issu  hz display feel like butter fingersand game experi next level classi display although ive purchas  watt charg variant charg speed bad,0.114,0.07,0.817
1265, variant perfect work decent dimens  good optimis proccessor  hit issu heavi usag lagg issu sound absolut stun dual speaker dolbi atmo issu face low light camera qualiti struggl bit low light daylight good  excel fix softwar updatebut must say  yes phone power term perform go b,0.265,0.073,0.662
1266,honest review use three  look feel  awesom camo green colour amaz handi comfort  perform   display refresh rate  feel refresh rate well optimis still good hope system updat make smoother till havent felt  batteri charg  good batteri backup  normal use your heavi user depend full charg  min normal charg ,0.283,0.0,0.717
1267,awesom use sinc  day batteri perform better selfi camera rear camera also good daylight photo decent littl problem low light photo rest featur awesomegam like pubg free fire work good dimens  processor,0.317,0.158,0.525
1268,give review usag complet  day rear camera upto expect level  dim light sunlight realli good front camera realli good expect overal worth money lag good processor love stereo dolbi effect semma qualiti hear music   hd video amaz sound effect mild hear ,0.284,0.046,0.67
1269,mi  good mobil  camera  good batteri  good display good call voic also good im happi use mi  mobil love ,0.59,0.0,0.41
1270,phone great function think lack phone like display fingerprint   gb storag given accord price phone  gb ramand isnt second space phone otherwis phone great  refresh rate blast dont buy play bgmi  support never maintain  fps drop  start play even mylta ,0.284,0.119,0.597
1271,camera qualiti good,0.592,0.0,0.408
1272,  version batteri last day even use social media music  charger enough daili use bought phone main offer batteri capac hypercharg versioni plug morn wake time done breakfast approx  phone fullspeak dual stereo speaker one top one bottom symmetr sound imposs loud crisp hear phone room also cle,0.038,0.0,0.962
1273,  mobil perform oper fast camera  mg good qualiti sound clear doubl speekar good lowd clear hipper charg hit complaint valu money good product ,0.42,0.066,0.514
1274,write review use  daysi bought   variant pacif pearl colorfirst phone look eleg hand fact coupl dimens  chipset make phone perform beastuntil face issu  hz display feel like butter fingersand game experi next level classi display although ive purchas  watt charg variant charg speed bad,0.114,0.07,0.817
1275, variant perfect work decent dimens  good optimis proccessor  hit issu heavi usag lagg issu sound absolut stun dual speaker dolbi atmo issu face low light camera qualiti struggl bit low light daylight good  excel fix softwar updatebut must say  yes phone power term perform go b,0.265,0.073,0.662
1276,phone look great handbuild qualiti good look premiumdisplay good work smooth  settingsound qualiti better previous xiaomi phone stereo speaker bottomcharg super quick charg phone   approx  minutescon xiaomi realli need work camera especi front camerath pictur still look like one get phone  rang,0.348,0.0,0.652
1277,im write review month week usag first display  good display plus phone look premium hand nice use due design provid headphon jack plus despit fact  mah batteri last pretti long u pass day   batteri  good bright ness level view sunlight good phonecon drawback camera  doesnt justifi price  get hypercharg model coo,0.286,0.0,0.714
1278,ok  day use mobil write reviewfirst rear camera qualiti good price front camera good perform also good got easili  hour screen time charg   minut test afteral bad devic rear camera better got  price okay  say overpr special sound qualiti good loud clear box,0.396,0.058,0.546
1279,thank phone xiaomi make mobil fast charg quick compani claimthank flipkart fast deliveri,0.172,0.0,0.828
1280,xiaomi  hyper charg mobil good  im happi purchas mobil  well,0.385,0.0,0.615
1281,realli nice product xiaomii love charg speed  charger heat issu display also good speaker top bottom phone balanc sound system main draw back camera im satisfi camera  mp good much  mp ,0.36,0.0,0.64
1282,xiaomi  hypercharg camera work proper camera qualiti poor camera focus proper camera take pictur blurri return order pleas dont order mobil camera work proper,0.0,0.119,0.881
1283,nice mobil averag camera good mediatek processor great audio via wire wireless speaker audio qualiti also good good display batteri life great would say averag batteri life photographi wouldnt recommend mobil overal valu money mobil phone,0.388,0.042,0.571
1284,realli nice mob hand feel next level camera good take decent photo display great overal valu money,0.5,0.0,0.5
1285,use mobil  week share experi pre usag deliveri flipkart mobil us awesom got  day post usag batteri charg take  mint per claim   charg take  mint  drainag issu might  mobil last   phone   hour back moder usag   hour continu net usag  video stream  expect bett,0.05,0.0,0.95
1286,best metal bodi power bank good qualiti fast charg  like ,0.578,0.0,0.422
1287,deliveri faster expectednic power bank  desin wellat first qute confus  easi usethank u flipkard mi good producti realli happi product,0.139,0.0,0.861
1288,beauti colour power bank nice backup good qualiti love peopl go product good ,0.587,0.0,0.413
1289,worth reduc one star becoz reason  decid buy mobil readi go wid powerbnk cant forgot get chrger im unsatifi becoz port c chrg pin big port powerbank consist micro usb way dissatisfi sametym chrge anoth mobil powerbnk also use per mob  wth usb connect  worth buy thankyou flipkart,0.074,0.066,0.859
1290,proud say use made india product think best product price categori backup good  person experi use nd kind brought thank mi product nd thank team flipkart  ekart deliv product safe nd fine ,0.493,0.0,0.507
1291,dont buy productthi  support devic devic take maximum upto  hrs chang fullythi devic need minimum   hrs use  fast chargersmi samsung  took  hrs get full charg use power bankdont believ review think review paid review flipkartdont wast money producttri buy intex give good result use sinc  year still work well ,0.094,0.042,0.864
1292,excel mi   mah power bank low price high qualiti product best seller retail net  product qualiti reason price fast ship recommend seller yes flipkart servic good realli enjoy shop thank ,0.466,0.047,0.488
1293,good product charger oneplus   time  third time  batteri  life good thank tou flip cart diliveri also fast order come  day,0.328,0.0,0.672
1294,look beauti charg phone quit fast support fast charg charg phone effici well,0.304,0.0,0.696
1295,nice product go price also good think buy power bank go,0.388,0.0,0.612
1296,phone work good,0.592,0.0,0.408
1297,nice,1.0,0.0,0.0
1298,everyth ok except batteri backup,0.355,0.0,0.645
1299,good product,0.744,0.0,0.256
1300,mi good phone good batteri im happi,0.537,0.0,0.463
1301,good,1.0,0.0,0.0
1302,nyc phone,0.0,0.0,1.0
1303,good,1.0,0.0,0.0
1304,excel phone cost awesom unbox experienceit aesthet look nd designit superb display poor screen protectorperform best well ui experi batteri manag decent camera good satur  may problem peopl rare time,0.361,0.129,0.51
1305,good,1.0,0.0,0.0
1306,superb,1.0,0.0,0.0
1307,nice product,0.737,0.0,0.263
1308,lite weight,0.0,0.0,1.0
1309,brilliant phone hand feel realli give premium flagship one slim light hard feel weight phone definit underr disappoint screen finger print  jack batteri backup well charg amaz overal complet flagship phone,0.297,0.102,0.6
1310,superb phone,0.804,0.0,0.196
1311,good,1.0,0.0,0.0
1312,perfect mobil,0.787,0.0,0.213
1313,batteri drain problem two day onlyalso disappoint flipkart,0.0,0.474,0.526
1314,excel phone cost awesom unbox experienceit aesthet look nd designit superb display poor screen protectorperform best well ui experi batteri manag decent camera good satur  may problem peopl rare time,0.361,0.129,0.51
1315,good,1.0,0.0,0.0
1316,superb,1.0,0.0,0.0
1317,nice product,0.737,0.0,0.263
1318,lite weight,0.0,0.0,1.0
1319,brilliant phone hand feel realli give premium flagship one slim light hard feel weight phone definit underr disappoint screen finger print  jack batteri backup well charg amaz overal complet flagship phone,0.297,0.102,0.6
1320,superb phone,0.804,0.0,0.196
1321,good,1.0,0.0,0.0
1322,perfect mobil,0.787,0.0,0.213
1323,batteri drain problem two day onlyalso disappoint flipkart,0.0,0.474,0.526
1324,excel phone cost awesom unbox experienceit aesthet look nd designit superb display poor screen protectorperform best well ui experi batteri manag decent camera good satur  may problem peopl rare time,0.361,0.129,0.51
1325,good,1.0,0.0,0.0
1326,superb,1.0,0.0,0.0
1327,nice product,0.737,0.0,0.263
1328,lite weight,0.0,0.0,1.0
1329,brilliant phone hand feel realli give premium flagship one slim light hard feel weight phone definit underr disappoint screen finger print  jack batteri backup well charg amaz overal complet flagship phone,0.297,0.102,0.6
1330,superb phone,0.804,0.0,0.196
1331,good,1.0,0.0,0.0
1332,perfect mobil,0.787,0.0,0.213
1333,batteri drain problem two day onlyalso disappoint flipkart,0.0,0.474,0.526
1334,phone look great handbuild qualiti good look premiumdisplay good work smooth  settingsound qualiti better previous xiaomi phone stereo speaker bottomcharg super quick charg phone   approx  minutescon xiaomi realli need work camera especi front camerath pictur still look like one get phone  rang,0.348,0.0,0.652
1335,im write review month week usag first display  good display plus phone look premium hand nice use due design provid headphon jack plus despit fact  mah batteri last pretti long u pass day   batteri  good bright ness level view sunlight good phonecon drawback camera  doesnt justifi price  get hypercharg model coo,0.286,0.0,0.714
1336,ok  day use mobil write reviewfirst rear camera qualiti good price front camera good perform also good got easili  hour screen time charg   minut test afteral bad devic rear camera better got  price okay  say overpr special sound qualiti good loud clear box,0.396,0.058,0.546
1337,thank phone xiaomi make mobil fast charg quick compani claimthank flipkart fast deliveri,0.172,0.0,0.828
1338,xiaomi  hyper charg mobil good  im happi purchas mobil  well,0.385,0.0,0.615
1339,realli nice product xiaomii love charg speed  charger heat issu display also good speaker top bottom phone balanc sound system main draw back camera im satisfi camera  mp good much  mp ,0.36,0.0,0.64
1340,xiaomi  hypercharg camera work proper camera qualiti poor camera focus proper camera take pictur blurri return order pleas dont order mobil camera work proper,0.0,0.119,0.881
1341,nice mobil averag camera good mediatek processor great audio via wire wireless speaker audio qualiti also good good display batteri life great would say averag batteri life photographi wouldnt recommend mobil overal valu money mobil phone,0.388,0.042,0.571
1342,realli nice mob hand feel next level camera good take decent photo display great overal valu money,0.5,0.0,0.5
1343,use mobil  week share experi pre usag deliveri flipkart mobil us awesom got  day post usag batteri charg take  mint per claim   charg take  mint  drainag issu might  mobil last   phone   hour back moder usag   hour continu net usag  video stream  expect bett,0.05,0.0,0.95
1344,phone look great handbuild qualiti good look premiumdisplay good work smooth  settingsound qualiti better previous xiaomi phone stereo speaker bottomcharg super quick charg phone   approx  minutescon xiaomi realli need work camera especi front camerath pictur still look like one get phone  rang,0.348,0.0,0.652
1345,im write review month week usag first display  good display plus phone look premium hand nice use due design provid headphon jack plus despit fact  mah batteri last pretti long u pass day   batteri  good bright ness level view sunlight good phonecon drawback camera  doesnt justifi price  get hypercharg model coo,0.286,0.0,0.714
1346,ok  day use mobil write reviewfirst rear camera qualiti good price front camera good perform also good got easili  hour screen time charg   minut test afteral bad devic rear camera better got  price okay  say overpr special sound qualiti good loud clear box,0.396,0.058,0.546
1347,thank phone xiaomi make mobil fast charg quick compani claimthank flipkart fast deliveri,0.172,0.0,0.828
1348,xiaomi  hyper charg mobil good  im happi purchas mobil  well,0.385,0.0,0.615
1349,realli nice product xiaomii love charg speed  charger heat issu display also good speaker top bottom phone balanc sound system main draw back camera im satisfi camera  mp good much  mp ,0.36,0.0,0.64
1350,xiaomi  hypercharg camera work proper camera qualiti poor camera focus proper camera take pictur blurri return order pleas dont order mobil camera work proper,0.0,0.119,0.881
1351,nice mobil averag camera good mediatek processor great audio via wire wireless speaker audio qualiti also good good display batteri life great would say averag batteri life photographi wouldnt recommend mobil overal valu money mobil phone,0.388,0.042,0.571
1352,realli nice mob hand feel next level camera good take decent photo display great overal valu money,0.5,0.0,0.5
1353,use mobil  week share experi pre usag deliveri flipkart mobil us awesom got  day post usag batteri charg take  mint per claim   charg take  mint  drainag issu might  mobil last   phone   hour back moder usag   hour continu net usag  video stream  expect bett,0.05,0.0,0.95
1354,screendisplay   butteri smooth perform     band   given  price pay camera   need wait updat charg speed    watt best featur gamer although benefit mani situat weight    thought would heavier side coz  gram plus weight distribut good combin mediatek xiaomi need see come updatesi dont know insi,0.2,0.028,0.772
1355,ultim power packand india fastest charg smartphon  total amaz phone  alway want someth like pack brilliant display amaz cameraultim fast charg great speaker one word perform also phone feel premium hand complet packag valu money go without second thought,0.305,0.0,0.695
1356,receiv phone must say phone definit overhyp display good  one old samsung mobil better display lower price  good thing say devic charger that  unless dont time charg phone dont buy  perform okay okay type  better care buy devic  flipkart let return find,0.272,0.102,0.626
1357,xiaomi  hypercharg great launch xiaomi  charger excel charg devic fulli   min batteri drain much faster put expect xiaomi product expect solv batteri drain issu camera good per expect price rang even redmi note  pro max captur better pictur camera bug need solv issu next updat display fabul perform peak mediatek,0.219,0.0,0.781
1358,camera good expect clear imag  let hope camera fix updat perform beasthypercharg charg phone  min   normal modebut  charg mode charg  mini prefer charg normal modelook also ,0.268,0.0,0.732
1359,first impress matter made india best design best class perform cell phone premium segment use last two day explor option like camera game display battey back everyth best gave  consid paramet met product one think best featur within  go,0.421,0.0,0.579
1360,overal phone come great packag except camera goodpro   build    batteri  featurescon     camera,0.272,0.0,0.728
1361,prosdisplay amaz rangehypercharg awesomephon charg  min  without use boost modedu speaker realli goodfingerprint sensor realli fastconscamera need betterhop updat miandroid  need nowwil give full review extens useif want awesom batteri display sound go one,0.037,0.064,0.9
1362,camara batteri could better otherwis perform display good,0.492,0.0,0.508
1363,everyon written phone evid phone averag camera batteri drain softwar updat good fast charg abl charg    min flat without touch screen screen qualiti processor  ram managementmain thing would come know review charger use brand product  review  hypercharg fast charg adapt ,0.069,0.0,0.931
1364,phone look great handbuild qualiti good look premiumdisplay good work smooth  settingsound qualiti better previous xiaomi phone stereo speaker bottomcharg super quick charg phone   approx  minutescon xiaomi realli need work camera especi front camerath pictur still look like one get phone  rang,0.348,0.0,0.652
1365,im write review month week usag first display  good display plus phone look premium hand nice use due design provid headphon jack plus despit fact  mah batteri last pretti long u pass day   batteri  good bright ness level view sunlight good phonecon drawback camera  doesnt justifi price  get hypercharg model coo,0.286,0.0,0.714
1366,ok  day use mobil write reviewfirst rear camera qualiti good price front camera good perform also good got easili  hour screen time charg   minut test afteral bad devic rear camera better got  price okay  say overpr special sound qualiti good loud clear box,0.396,0.058,0.546
1367,thank phone xiaomi make mobil fast charg quick compani claimthank flipkart fast deliveri,0.172,0.0,0.828
1368,xiaomi  hyper charg mobil good  im happi purchas mobil  well,0.385,0.0,0.615
1369,realli nice product xiaomii love charg speed  charger heat issu display also good speaker top bottom phone balanc sound system main draw back camera im satisfi camera  mp good much  mp ,0.36,0.0,0.64
1370,xiaomi  hypercharg camera work proper camera qualiti poor camera focus proper camera take pictur blurri return order pleas dont order mobil camera work proper,0.0,0.119,0.881
1371,nice mobil averag camera good mediatek processor great audio via wire wireless speaker audio qualiti also good good display batteri life great would say averag batteri life photographi wouldnt recommend mobil overal valu money mobil phone,0.388,0.042,0.571
1372,realli nice mob hand feel next level camera good take decent photo display great overal valu money,0.5,0.0,0.5
1373,use mobil  week share experi pre usag deliveri flipkart mobil us awesom got  day post usag batteri charg take  mint per claim   charg take  mint  drainag issu might  mobil last   phone   hour back moder usag   hour continu net usag  video stream  expect bett,0.05,0.0,0.95
1374,camera awesom good see price accord work high,0.293,0.0,0.707
1375,con speaker volum lowcamera worth  long batteryfast charg  minoper system improvedcamera also good call record work earlier version miuiram  processor good handl gamingmiui almost bug freebatteri backup good despit os draininglight weight good look good design never heat upsoftwar probabl improv camera perform fix batteri drain wifi recept speaker bad display hardwar,0.253,0.054,0.693
1376,valu money,0.0,0.0,1.0
1377,best ever phone like redmi,0.691,0.0,0.309
1378,good ,1.0,0.0,0.0
1379,good,1.0,0.0,0.0
1380,nice product,0.737,0.0,0.263
1381,batteri drain fast,0.0,0.0,1.0
1382,nice,1.0,0.0,0.0
1383,nice,1.0,0.0,0.0
1384,best metal bodi power bank good qualiti fast charg  like ,0.578,0.0,0.422
1385,deliveri faster expectednic power bank  desin wellat first qute confus  easi usethank u flipkard mi good producti realli happi product,0.139,0.0,0.861
1386,beauti colour power bank nice backup good qualiti love peopl go product good ,0.587,0.0,0.413
1387,worth reduc one star becoz reason  decid buy mobil readi go wid powerbnk cant forgot get chrger im unsatifi becoz port c chrg pin big port powerbank consist micro usb way dissatisfi sametym chrge anoth mobil powerbnk also use per mob  wth usb connect  worth buy thankyou flipkart,0.074,0.066,0.859
1388,proud say use made india product think best product price categori backup good  person experi use nd kind brought thank mi product nd thank team flipkart  ekart deliv product safe nd fine ,0.493,0.0,0.507
1389,dont buy productthi  support devic devic take maximum upto  hrs chang fullythi devic need minimum   hrs use  fast chargersmi samsung  took  hrs get full charg use power bankdont believ review think review paid review flipkartdont wast money producttri buy intex give good result use sinc  year still work well ,0.094,0.042,0.864
1390,excel mi   mah power bank low price high qualiti product best seller retail net  product qualiti reason price fast ship recommend seller yes flipkart servic good realli enjoy shop thank ,0.466,0.047,0.488
1391,good product charger oneplus   time  third time  batteri  life good thank tou flip cart diliveri also fast order come  day,0.328,0.0,0.672
1392,look beauti charg phone quit fast support fast charg charg phone effici well,0.304,0.0,0.696
1393,nice product go price also good think buy power bank go,0.388,0.0,0.612
1394,work well  day use batteri back fine normal usag gift mom happygenuin phone rang segment,0.362,0.0,0.638
1395,nice product accord budget hard play high graphic game like pubg  ram lag even play smooth graphic set game high graphic game purpos dont go   gb ram rest work well,0.313,0.097,0.59
1396,bad performancephon hangtim time,0.0,0.538,0.462
1397,worst product receiv camara clear useless product deliv flipkart go use flipkart go fowardveri worst,0.106,0.447,0.447
1398,price soo high product poor accord price satisfi product,0.0,0.279,0.721
1399,worst phone ever mi low qualiti camera perform like  cera,0.159,0.395,0.446
1400,accept camera pictur qualiti good budget phone,0.524,0.0,0.476
1401,realli nice ,0.737,0.0,0.263
1402,great,1.0,0.0,0.0
1403,good product,0.744,0.0,0.256
1404,camera awesom good see price accord work high,0.293,0.0,0.707
1405,con speaker volum lowcamera worth  long batteryfast charg  minoper system improvedcamera also good call record work earlier version miuiram  processor good handl gamingmiui almost bug freebatteri backup good despit os draininglight weight good look good design never heat upsoftwar probabl improv camera perform fix batteri drain wifi recept speaker bad display hardwar,0.253,0.054,0.693
1406,valu money,0.0,0.0,1.0
1407,best ever phone like redmi,0.691,0.0,0.309
1408,good ,1.0,0.0,0.0
1409,good,1.0,0.0,0.0
1410,nice product,0.737,0.0,0.263
1411,batteri drain fast,0.0,0.0,1.0
1412,nice,1.0,0.0,0.0
1413,nice,1.0,0.0,0.0
1414,amaz product far good  week use smooth use great budget phone super fast lag camera pretti good phone price rang add   gb card set go,0.381,0.066,0.552
1415,phone good price point use phone  day never face  phone camera good daylight pictur qualiti nice low light night doesnt captur nice  phone procces work realli nice normal use say normal use never use phone play high graphic game never face heat issu   phone high power batteri easili get over full day quit heavi use,0.214,0.062,0.724
1416,valu money batteri camera good loom also good overal good phone budget,0.468,0.102,0.43
1417,nice product perform bit low camera good focus notbatteri backup also good,0.46,0.112,0.428
1418,thank flip kart good product fast deliveri im happi redmi  best phone batteri camera other super beautyful slim phone  weight im happi,0.429,0.0,0.571
1419,redmi  lite entrylevel offer xiaomi scaleddown version similar name redmi  phone use qualcomm snapdragon  soc hous quad core processor come singl  ram   storag version phone support dual sim card dedic separ microsd card slot addit storag capac  mah batteri good  hour talk time  day standbi time camera set consist  unit ,0.104,0.0,0.896
1420,excel,1.0,0.0,0.0
1421,nice,1.0,0.0,0.0
1422,happi,0.0,0.0,1.0
1423,great phone best parent,0.806,0.0,0.194
1424,camera awesom good see price accord work high,0.293,0.0,0.707
1425,con speaker volum lowcamera worth  long batteryfast charg  minoper system improvedcamera also good call record work earlier version miuiram  processor good handl gamingmiui almost bug freebatteri backup good despit os draininglight weight good look good design never heat upsoftwar probabl improv camera perform fix batteri drain wifi recept speaker bad display hardwar,0.253,0.054,0.693
1426,valu money,0.0,0.0,1.0
1427,best ever phone like redmi,0.691,0.0,0.309
1428,good ,1.0,0.0,0.0
1429,good,1.0,0.0,0.0
1430,nice product,0.737,0.0,0.263
1431,batteri drain fast,0.0,0.0,1.0
1432,nice,1.0,0.0,0.0
1433,nice,1.0,0.0,0.0
1434,work well  day use batteri back fine normal usag gift mom happygenuin phone rang segment,0.362,0.0,0.638
1435,nice product accord budget hard play high graphic game like pubg  ram lag even play smooth graphic set game high graphic game purpos dont go   gb ram rest work well,0.313,0.097,0.59
1436,bad performancephon hangtim time,0.0,0.538,0.462
1437,worst product receiv camara clear useless product deliv flipkart go use flipkart go fowardveri worst,0.106,0.447,0.447
1438,price soo high product poor accord price satisfi product,0.0,0.279,0.721
1439,worst phone ever mi low qualiti camera perform like  cera,0.159,0.395,0.446
1440,accept camera pictur qualiti good budget phone,0.524,0.0,0.476
1441,realli nice ,0.737,0.0,0.263
1442,great,1.0,0.0,0.0
1443,good product,0.744,0.0,0.256
1444,decent phone parentsgrand parent first time android userscamera  pretti good im use max pro  camera abl outperform  easili come photographi howev video record doesnt ei kind bummerdisplay  noth much say get job done ampl brightnessbatteri  pretti great howev mi provid  charger box though support  charg given batteri  shouldv atleast  charger,0.166,0.047,0.787
1445,nice camera qualiti better batteri backupperform also improv  better job,0.551,0.0,0.449
1446,excel devic peopl shift smartphon  ram look enough meant game solitair candi crush fine devic  aspect ratio bezel good beginn use hold drop notch display phone kind messcamera averag purpos video call occasion photographi fineout box  ram occuip  gb space avail ir blaster speaker al,0.206,0.069,0.725
1447,nice product redmi power perform power batteri awesom camera valu money ,0.219,0.0,0.781
1448,superb entri level phone best valu product redmiredmi  matt blackcamera      money    volt   qualiti  backcal clariti depend network operatortest  relianc jio  awesom perform call honest review use  day,0.326,0.0,0.674
1449,receiv product today find smartphon decent  main reason buy mobil  big batteri    camera soni imx  camera also pro mode nice   tripl slot memori dual sim  dual  dew drop display,0.088,0.066,0.846
1450,thank flipkart sunday sale fast deliverybest budget smartphon  inthi segment phone better realm  memori free  mobil jhksss chala maja aa gayahigh recommend phone,0.371,0.0,0.629
1451,damm best price segment compar real  bought alsoher comparison real  better perform  coz  play pubg much better  coz adreno  perform better high graphicscamera take better  pic detail everi shot even zoom pic clariti much betterdesign good enough  better look  screen niceconshav big bezel top  bottom quit irrit rest noth c,0.392,0.0,0.608
1452,quit impress look phone nice say averag mobil wrong nice price rang miss fingerprint sensor thank flipkart ekart courier awesom servic deliveri agent mr wassan came deliv raini weather  star servic flipkart best,0.331,0.102,0.566
1453,camera awesom price segment camera work well pro mode tooyou also click light trail imag pro mode low budget devic,0.095,0.095,0.811
1454,gift phone mother  like slim  light weight handi camera nicedont expect superb iphon  pro max doesnt mabi app instal  charg point c type  headphon accessori avail wire headset connect altogeth would like give ,0.3,0.0,0.7
1455,got phone time best part phone allround phone youll get best camera best batteri backup best perform snapdragon  haptic feedback amaz overal im happi get phone,0.433,0.0,0.567
1456,super slim super lite weigh everyth good  nice product xiaomi,0.692,0.0,0.308
1457,overal nice phonelightest phone slim stun bodycamera qualiti nicedolbi speaker fabul audiofast batteri chargingdisplay qualiti nice,0.286,0.0,0.714
1458,good good averag phone best  search good lock phone slim phone,0.648,0.0,0.352
1459,actual good phone light weight slimand handi batteri good expect even consid  batteri also come amol display batteri backup must quiet impress sometim glitch softwar sideoveral good phone daili usag,0.309,0.0,0.691
1460,phone awesomeit premium awesom look  back camera good know use camera perfect  toppppalso selfi camera awesom perform  percent  better processor,0.358,0.0,0.642
1461,everyth perfect phone happi batteri perform,0.425,0.0,0.575
1462,nice phone  nice camera averag low light display  perform nice miss  audio jackoveral nice phone  allround,0.45,0.149,0.402
1463,good phone price camera good screen good batteri good chager good,0.707,0.0,0.293
1464,good simpl use batteri life good charg time  hour good product compair price,0.465,0.0,0.535
1465,dont buy phone bad camera qualiti,0.363,0.0,0.637
1466,worst ever,0.0,0.804,0.196
1467,good,1.0,0.0,0.0
1468,dont buy dont want money wast  camera gimmick give worst photo pathet camera qualiti didnt expect realm,0.057,0.202,0.74
1469,work smooth expect,0.0,0.0,1.0
1470,nice,1.0,0.0,0.0
1471,nice camera,0.737,0.0,0.263
1472,bad qualiti,0.0,0.778,0.222
1473,nice product  bad,0.384,0.479,0.137
1474,bad thing  camera qualiti normal  selfi  micro  sound system good good  batteri back awesom  extra featur  finger print sensor face lock sensor  screen resolut goodoveral overal phone good except camera qualiti,0.222,0.089,0.689
