,Review,Positive,Negative,Neutral
140,good one one time laptop keybord worth thay soft batteri manag cannot aspect keybord game quit heat thermal  good,0.325,0.0,0.675
141,everi laptop pros  build qualiti good compar similar laptop price  keyboard top lid flex  maximum number port need  look sleak  xbox game pass u enjoy  game  month  lenovo vantag softwar good mux switch also help littl fps  game play highest graphic  ,0.343,0.0,0.657
142,superb,1.0,0.0,0.0
143,bit outdat  still perform medium level user gamer excel wait  model price come although everyon know legion true king game laptop one cone notic less batteri backup even case activ power saver option laptop doesnt give good battert backup noth els complain,0.119,0.101,0.78
144,use month  time use code light game perform wise great lenovo done good job cool even game   hour temperatur control boot time also greatth build qualiti great feel dens sturdi three reason one would pick  build  io great  normal user would need usb  option swit,0.346,0.0,0.654
145,good perform ,0.744,0.0,0.256
146,awesom product,0.0,0.0,1.0
147,laptop bit expens comapr counterpart featur good laptop got freez two time first month use perform top notch given spec,0.207,0.0,0.793
148,good,1.0,0.0,0.0
149,nice,1.0,0.0,0.0
150,realli good laptop price   worth money boot time fast  processor power   generat maximum batteri backup  hour con doesnt ip display,0.211,0.0,0.789
151,laptop goodpro    absolut great perform             batteri excel            keyboard good            overal good valu money            build qualiti averag neither good                 bad con    display tn  view angl bad                 tn pane colour reproduct bad                                 display yellow tint calibr             ,0.484,0.0,0.516
152,valu money,0.0,0.0,1.0
153,good,1.0,0.0,0.0
154,super qualiti,0.796,0.0,0.204
155,great devic let tell  superb build qualiti  great display  camera great good light condit  process great  sound superb  call qualiti great  red colour look  portrait mode photographi superb,0.653,0.0,0.347
156,love older size ie  inch type definit go  noth better xr xs  best price usag,0.485,0.0,0.515
157,sure prefer first iphon valu money batteri suffici alreadi know batteri iphon camera mark insuffici night mode wideangl mode that ok big deal display perform good enough overal lookup impress cours attract speaker mind blow dual speaker setup quit loud compar other price rang phone best inter,0.293,0.0,0.707
158,first iphon hv bought  it bit diff use first first mani year hv use android actual like  camera omg it realli awesom  like feel classi use  batteri also good enough  write review use  day anyon think buy pls go  thank,0.251,0.0,0.749
159,one best phone  camera performancebatteri also good without gamesthank u flipkart best offer fastest deliveri ,0.507,0.0,0.493
160,great camera pic video batteri life good far set turn never use use turn use power save mode time full day light game  use camera  listen music car youtub bluetooth coupl hour give full day batteri vare   hour sot per dayperform top notch play everi game everi task easeveri premium phone look,0.235,0.0,0.765
161,iphon se best phone ever get beauti design give classi look palm moreov perform wise benchmark disappoint budget purchas point size look wont disappoint strong recommend phone peopl work orient game love skip phone game phone best featur stun look  perform batteri life good,0.377,0.083,0.54
162,mobil handi pack good perform nice camera first iphon good experi appl batteri worst hard get  hour screen time  posit thing came know mani hour spend mobil poor batteri use mobil  hour day,0.195,0.195,0.611
163,second iphon iphon  iv long time android user ill tell phone prospect buyer  photo video enthusiast reliabl camera fast excel pictur qualiti video absolut stabl profession qualiti would amaz mani peopl shoot youtub video iphon downsid display doesnt justic photo video taken night photo ,0.154,0.048,0.798
